Date,Activity,Activity type,Unit,Amount executed
2025-01-04,Foundation pouring,Building,m3,4984.404310164933
2025-05-22,Anchorage,Railway,m2,2602.7744936760505
2025-08-12,Ballast,Railway,m3,2320.9789069047974
2025-01-26,Rolling/Tractor,Road,m2,1244.1178314977335
2025-01-08,Anchorage,Railway,m2,4237.772331586845
2025-03-03,Cement making,Building,m3,1304.4169114032788
2025-03-18,Ballast,Railway,m3,1723.4277769210498
2025-02-28,Laying steel rail,Railway,m,22.142627419523553
2025-03-15,Cement making,Building,m3,643.0373415872382
2025-11-21,Walling,Building,m2,914.2733124544417
2025-06-26,Rolling/Tractor,Road,m2,3269.766586462052
2025-07-31,Cement making,Building,m3,4865.673685140672
2025-04-07,Ballast,Railway,m3,4136.289559192996
2025-12-24,Ballast,Railway,m3,1763.035012717209
2025-08-27,Ballast,Railway,m3,1904.1592701853776
2025-10-17,Ballast,Railway,m3,4006.7118664570894
2025-10-06,Anchorage,Railway,m2,376.26191765333385
2025-03-05,Pavement,Road,m2,2814.9573275348953
2025-12-26,Rolling/Tractor,Road,m2,2717.1539084544793
2025-11-25,Removing trees,Building,m2,602.7810386260423
2025-06-16,Walling,Building,m2,3754.8220445210145
2025-05-07,Ballast,Railway,m3,376.827980311506
2025-11-12,Terrain leveling,Building,m3,3381.0349608985657
2025-05-22,Walling,Building,m2,3777.53702496359
2025-10-02,Laying steel rail,Railway,m,371.190554279241
2025-07-28,Coat preparation,Road,L,2344.0499163942045
2025-11-29,Coat preparation,Road,L,842.9542619940172
2025-12-26,Walling,Building,m2,3733.8762986912193
2025-05-23,Cement making,Building,m3,359.993016599659
2025-09-23,Pavement,Road,m2,1940.594892220236
2025-05-12,Subbase application,Road,m2,1766.0454204169896
2025-03-17,Subbase application,Road,m2,4195.616933643024
2025-12-11,Ballast,Railway,m3,3968.1336603322748
2025-11-23,Pavement,Road,m2,4875.404354941071
2025-05-13,Anchorage,Railway,m2,1447.9823416102754
2025-09-11,Ballast,Railway,m3,3759.020307696653
2025-11-20,Subbase application,Road,m2,2499.1137030873124
2025-04-26,Removing trees,Building,m2,1772.385667617833
2025-10-11,Iron mining,Railway,m3,404.4523936629046
2025-08-11,Cement making,Building,m3,1529.3661161903842
2025-05-26,Coat preparation,Road,L,3685.7978886277624
2025-02-07,Iron mining,Railway,m3,3634.4703482821587
2025-09-06,Removing trees,Building,m2,1481.7707351319787
2025-03-29,Iron mining,Railway,m3,1680.4918751400255
2025-08-17,Ballast,Railway,m3,1213.7673413707782
2025-04-12,Subbase application,Road,m2,1974.2727126458503
2025-10-31,Removing trees,Building,m2,3258.371076353759
2025-11-09,Terrain leveling,Building,m3,1306.6488353034956
2025-09-07,Cement making,Building,m3,4997.278950608484
2025-10-24,Coat preparation,Road,L,2084.706775602911
2025-05-06,Walling,Building,m2,2609.166151322168
2025-09-14,Foundation pouring,Building,m3,1136.2247342769933
2025-04-06,Foundation pouring,Building,m3,2408.48370980158
2025-04-16,Coat preparation,Road,L,2732.490350200809
2025-11-03,Ballast,Railway,m3,639.7782863460716
2025-03-10,Rolling/Tractor,Road,m2,4345.829803043486
2025-09-07,Pavement,Road,m2,977.9411426581436
2025-09-06,Iron mining,Railway,m3,3335.7839611504746
2025-09-03,Laying steel rail,Railway,m,1749.398452571207
2025-02-24,Subbase application,Road,m2,4850.9325629705345
2025-11-22,Laying steel rail,Railway,m,120.59714413943546
2025-06-29,Terrain leveling,Building,m3,434.28576476565394
2025-12-11,Ballast,Railway,m3,351.54078404535437
2025-11-26,Subbase application,Road,m2,3055.685198150769
2025-01-10,Removing trees,Building,m2,3196.2777132717933
2025-10-14,Terrain leveling,Building,m3,3975.9190254499595
2025-08-13,Rolling/Tractor,Road,m2,3771.2164961419585
2025-02-28,Foundation pouring,Building,m3,4119.765906953503
2025-01-25,Laying steel rail,Railway,m,1687.3828110384109
2025-04-12,Terrain leveling,Building,m3,628.8248394647438
2025-04-12,Terrain leveling,Building,m3,3045.0579409541583
2025-06-13,Pavement,Road,m2,1344.0162359395242
2025-07-03,Ballast,Railway,m3,468.84644244997276
2025-08-29,Walling,Building,m2,980.688113029119
2025-12-05,Rolling/Tractor,Road,m2,777.6853276285844
2025-12-06,Laying steel rail,Railway,m,289.34448978643
2025-10-16,Foundation pouring,Building,m3,2056.5647624389767
2025-06-23,Walling,Building,m2,109.49754774747522
2025-08-09,Terrain leveling,Building,m3,1853.110738882644
2025-07-14,Terrain leveling,Building,m3,2724.811205804639
2025-02-27,Laying steel rail,Railway,m,3350.372960664659
2025-09-08,Foundation pouring,Building,m3,1600.6606526575035
2025-07-09,Laying steel rail,Railway,m,3664.2369792368927
2025-03-06,Terrain leveling,Building,m3,3451.0093809945165
2025-05-06,Ballast,Railway,m3,736.2885682976083
2025-12-04,Terrain leveling,Building,m3,3644.96497302885
2025-04-22,Removing trees,Building,m2,2606.5133478034268
2025-12-18,Removing trees,Building,m2,2463.797439653142
2025-10-02,Cement making,Building,m3,3480.117110086378
2025-11-01,Cement making,Building,m3,2380.1959818551973
2025-10-03,Removing trees,Building,m2,2883.5698263296267
2025-06-03,Ballast,Railway,m3,4811.1365322619895
2025-10-03,Rolling/Tractor,Road,m2,1130.6540259210158
2025-06-30,Ballast,Railway,m3,2136.2938480378816
2025-08-16,Foundation pouring,Building,m3,2193.158780587344
2025-09-06,Pavement,Road,m2,852.2297595934275
2025-11-22,Removing trees,Building,m2,3155.594614650245
2025-01-21,Pavement,Road,m2,4709.750509162335
2025-01-22,Removing trees,Building,m2,1600.9896861671791
2025-08-05,Rolling/Tractor,Road,m2,453.3591706529311
2025-05-04,Coat preparation,Road,L,3256.899812014062
2025-12-07,Pavement,Road,m2,227.5204264318409
2025-08-14,Subbase application,Road,m2,3868.053494244497
2025-02-01,Subbase application,Road,m2,948.7557133543289
2025-01-04,Anchorage,Railway,m2,1754.7483558218908
2025-10-14,Walling,Building,m2,564.0354851541823
2025-01-07,Walling,Building,m2,673.7865319529574
2025-11-15,Pavement,Road,m2,457.5390313677102
2025-07-30,Laying steel rail,Railway,m,2090.3351659265345
2025-04-12,Ballast,Railway,m3,2646.989019633682
2025-03-14,Laying steel rail,Railway,m,4572.935378886542
2025-10-12,Pavement,Road,m2,379.2043320318428
2025-11-22,Terrain leveling,Building,m3,1877.664240102977
2025-06-03,Walling,Building,m2,3328.371059748477
2025-11-12,Walling,Building,m2,1138.240937436446
2025-03-16,Rolling/Tractor,Road,m2,3590.3324661409174
2025-04-10,Subbase application,Road,m2,33.11192307103583
2025-07-27,Rolling/Tractor,Road,m2,4806.807644750007
2025-03-14,Pavement,Road,m2,574.0663159971992
2025-03-31,Laying steel rail,Railway,m,3034.141065568446
2025-08-28,Terrain leveling,Building,m3,4328.922565123085
2025-08-18,Walling,Building,m2,4865.580012298187
2025-02-15,Subbase application,Road,m2,1137.8530448490053
2025-01-01,Foundation pouring,Building,m3,4032.1947252983014
2025-10-15,Terrain leveling,Building,m3,3252.9303106165285
2025-02-21,Terrain leveling,Building,m3,4437.765185204333
2025-05-29,Removing trees,Building,m2,3976.796466688856
2025-01-15,Subbase application,Road,m2,2754.0317190080045
2025-02-16,Coat preparation,Road,L,2311.6819192673297
2025-11-26,Laying steel rail,Railway,m,1225.7645595892964
2025-08-07,Ballast,Railway,m3,476.38925175964795
2025-11-23,Foundation pouring,Building,m3,2855.6655811050696
2025-09-25,Ballast,Railway,m3,2887.773128281399
2025-10-11,Foundation pouring,Building,m3,2287.053888300417
2025-12-02,Ballast,Railway,m3,3925.491285267729
2025-08-05,Walling,Building,m2,2341.860838898938
2025-02-10,Subbase application,Road,m2,1454.5866334452119
2025-10-14,Anchorage,Railway,m2,651.3101125245091
2025-03-23,Iron mining,Railway,m3,2229.3387018206645
2025-08-13,Anchorage,Railway,m2,3219.7805962514394
2025-06-20,Removing trees,Building,m2,3362.7607950080087
2025-06-15,Anchorage,Railway,m2,1156.1406700278587
2025-04-28,Iron mining,Railway,m3,2547.4165188874076
2025-09-28,Ballast,Railway,m3,2493.0470376125018
2025-02-16,Pavement,Road,m2,3542.5933670868253
2025-07-08,Iron mining,Railway,m3,3779.460317935062
2025-04-13,Foundation pouring,Building,m3,2097.3744397142236
2025-03-26,Laying steel rail,Railway,m,4495.451689395535
