Date,Activity,Activity type,Unit,Amount planned
2025-08-14,Cement making,Building,m3,1418.985416661488
2025-07-24,Laying steel rail,Railway,m,79.91381378325835
2025-01-15,Cement making,Building,m3,4147.198047316786
2025-01-20,Anchorage,Railway,m2,2088.2149561489355
2025-04-08,Terrain leveling,Building,m3,630.1432527416845
2025-05-23,Removing trees,Building,m2,969.082421862692
2025-01-26,Ballast,Railway,m3,3902.416748543781
2025-04-01,Subbase application,Road,m2,588.5840955923444
2025-10-05,Laying steel rail,Railway,m,1156.3203840578494
2025-10-22,Rolling/Tractor,Road,m2,573.8626641633426
2025-10-11,Subbase application,Road,m2,2985.9178289169863
2025-05-27,Terrain leveling,Building,m3,3643.7732838174315
2025-07-01,Coat preparation,Road,L,1451.755391792184
2025-04-15,Terrain leveling,Building,m3,2935.1192101505762
2025-07-20,Foundation pouring,Building,m3,1307.0466321923652
2025-07-21,Rolling/Tractor,Road,m2,3096.6329947279623
2025-02-12,Pavement,Road,m2,3876.2780269658942
2025-01-05,Coat preparation,Road,L,2442.004318470566
2025-01-19,Removing trees,Building,m2,1450.9371934235721
2025-03-21,Pavement,Road,m2,3782.4082694269364
2025-08-14,Subbase application,Road,m2,145.81424124187558
2025-04-01,Cement making,Building,m3,4328.016601753229
2025-09-28,Subbase application,Road,m2,1533.920363310944
2025-09-22,Coat preparation,Road,L,1121.1476513418272
2025-01-22,Coat preparation,Road,L,1998.6947322310057
2025-11-02,Terrain leveling,Building,m3,189.64795771656273
2025-02-13,Anchorage,Railway,m2,2168.394237019091
2025-09-26,Terrain leveling,Building,m3,70.82000804446986
2025-01-18,Pavement,Road,m2,1448.33913585661
2025-03-14,Removing trees,Building,m2,2621.0929655403297
2025-03-08,Iron mining,Railway,m3,1070.332152044237
2025-04-11,Terrain leveling,Building,m3,396.4293144854547
2025-07-20,Rolling/Tractor,Road,m2,3122.7756337001815
2025-07-02,Ballast,Railway,m3,1149.318181248304
2025-01-27,Laying steel rail,Railway,m,2206.8564029694166
2025-10-24,Foundation pouring,Building,m3,4660.616593171873
2025-12-19,Laying steel rail,Railway,m,1040.0868570336052
2025-01-27,Ballast,Railway,m3,2713.3548016030904
2025-12-18,Ballast,Railway,m3,3964.318015100108
2025-07-16,Rolling/Tractor,Road,m2,2260.1799678495977
2025-11-15,Rolling/Tractor,Road,m2,3736.253149374426
2025-12-14,Subbase application,Road,m2,3960.003047018618
2025-12-19,Iron mining,Railway,m3,2619.0759465848473
2025-09-18,Walling,Building,m2,220.64048196491936
2025-08-15,Cement making,Building,m3,4948.001915037206
2025-09-11,Laying steel rail,Railway,m,4625.204619507493
2025-02-02,Foundation pouring,Building,m3,3413.6827682393273
2025-05-10,Anchorage,Railway,m2,4317.4274481457705
2025-06-22,Laying steel rail,Railway,m,2058.1512860764283
2025-01-10,Terrain leveling,Building,m3,1236.1586193190437
2025-03-12,Iron mining,Railway,m3,1780.4357756607642
2025-12-03,Anchorage,Railway,m2,2417.4513635610815
2025-01-09,Terrain leveling,Building,m3,1234.5687855898607
2025-10-16,Removing trees,Building,m2,3303.830004473585
2025-06-06,Foundation pouring,Building,m3,1712.2645240489287
2025-10-04,Rolling/Tractor,Road,m2,728.7773814856064
2025-03-23,Walling,Building,m2,1636.2512005874114
2025-12-17,Ballast,Railway,m3,78.81687498815349
2025-06-24,Pavement,Road,m2,1957.6819981986405
2025-01-18,Rolling/Tractor,Road,m2,2908.809685350244
2025-09-15,Subbase application,Road,m2,1221.1621578789566
2025-10-03,Terrain leveling,Building,m3,4815.615330136288
2025-12-18,Iron mining,Railway,m3,3612.032998860281
2025-12-02,Laying steel rail,Railway,m,1712.8389703790697
2025-10-21,Coat preparation,Road,L,3570.3484584386456
2025-03-05,Subbase application,Road,m2,331.1387713401265
2025-03-27,Terrain leveling,Building,m3,4791.5356535327555
2025-02-06,Terrain leveling,Building,m3,3065.004787131663
2025-03-08,Foundation pouring,Building,m3,3741.4867248124506
2025-02-10,Anchorage,Railway,m2,4452.922140023736
2025-12-15,Rolling/Tractor,Road,m2,4409.613182927867
2025-09-23,Coat preparation,Road,L,3102.6659456519674
2025-12-23,Foundation pouring,Building,m3,1482.3985596457085
2025-02-25,Iron mining,Railway,m3,1730.7573524228526
2025-02-09,Laying steel rail,Railway,m,2626.7775372247024
2025-11-06,Ballast,Railway,m3,4882.870345128248
2025-01-14,Rolling/Tractor,Road,m2,2171.200747191675
2025-09-22,Rolling/Tractor,Road,m2,3532.5808112485856
2025-03-07,Subbase application,Road,m2,315.82952288989276
2025-10-05,Rolling/Tractor,Road,m2,3046.0582630405693
2025-11-10,Coat preparation,Road,L,4604.643146974837
2025-11-17,Terrain leveling,Building,m3,2361.253106632271
2025-12-10,Coat preparation,Road,L,3873.3998251968483
2025-11-27,Foundation pouring,Building,m3,1807.3319326182518
2025-01-01,Rolling/Tractor,Road,m2,229.81846166004183
2025-04-12,Pavement,Road,m2,2913.436877592222
2025-06-16,Terrain leveling,Building,m3,4916.863697995764
2025-08-03,Coat preparation,Road,L,4189.565970522482
2025-08-15,Cement making,Building,m3,606.8108210733469
2025-03-15,Iron mining,Railway,m3,2055.1080541670594
2025-08-03,Anchorage,Railway,m2,1832.418221202321
2025-10-01,Cement making,Building,m3,3425.330181466381
2025-05-28,Ballast,Railway,m3,3800.9830681515305
2025-06-19,Subbase application,Road,m2,2510.29652537533
2025-02-18,Ballast,Railway,m3,1785.6199842815302
2025-07-23,Coat preparation,Road,L,936.0424280164192
2025-02-15,Cement making,Building,m3,1033.4862819050634
2025-11-26,Pavement,Road,m2,650.4791009697519
2025-02-20,Pavement,Road,m2,2669.9390409078283
2025-12-08,Pavement,Road,m2,4246.962749439606
2025-09-30,Cement making,Building,m3,2267.2056274680017
2025-12-27,Subbase application,Road,m2,2331.6152725941174
2025-02-14,Subbase application,Road,m2,4551.891697960285
2025-08-06,Anchorage,Railway,m2,2615.5867036351883
2025-06-10,Anchorage,Railway,m2,3472.7424286278974
2025-08-04,Terrain leveling,Building,m3,2254.1366533506357
2025-08-16,Subbase application,Road,m2,4473.073876352711
2025-02-14,Ballast,Railway,m3,3038.689806935476
2025-05-27,Iron mining,Railway,m3,4105.162759549211
2025-05-10,Walling,Building,m2,1818.2723703118065
2025-09-26,Ballast,Railway,m3,1989.9229729789463
2025-08-26,Ballast,Railway,m3,4659.722216365817
2025-04-15,Terrain leveling,Building,m3,827.1271629506632
2025-07-06,Rolling/Tractor,Road,m2,2912.9115258850375
2025-04-09,Subbase application,Road,m2,571.2962913134262
2025-08-31,Laying steel rail,Railway,m,423.4457637204669
2025-08-19,Anchorage,Railway,m2,2737.6474672361837
2025-11-18,Subbase application,Road,m2,510.77571909563414
2025-06-28,Terrain leveling,Building,m3,1931.9590287322612
2025-09-27,Terrain leveling,Building,m3,1118.6531257417887
2025-10-07,Laying steel rail,Railway,m,4308.10127899269
2025-12-15,Cement making,Building,m3,345.9935663300245
2025-09-20,Cement making,Building,m3,1556.8347187058973
2025-12-21,Iron mining,Railway,m3,3712.501912053284
2025-06-23,Terrain leveling,Building,m3,4888.266236862155
2025-08-21,Terrain leveling,Building,m3,4322.24062179994
2025-06-03,Pavement,Road,m2,4066.3789966209633
2025-11-09,Terrain leveling,Building,m3,3111.4438620006586
2025-01-15,Anchorage,Railway,m2,3025.0187749014117
2025-11-23,Rolling/Tractor,Road,m2,640.4267065317648
2025-12-14,Walling,Building,m2,1687.693514610416
2025-10-10,Terrain leveling,Building,m3,4183.923042066759
2025-02-18,Ballast,Railway,m3,4934.976554207212
2025-01-31,Coat preparation,Road,L,2944.486159657209
2025-10-22,Rolling/Tractor,Road,m2,2929.005467273293
2025-02-08,Removing trees,Building,m2,4048.963781579771
2025-09-12,Terrain leveling,Building,m3,4289.744590894065
2025-12-09,Ballast,Railway,m3,3062.1426337237845
2025-10-03,Coat preparation,Road,L,1606.8983889611948
2025-01-21,Removing trees,Building,m2,3272.4620724839183
2025-11-28,Cement making,Building,m3,8.558843967612638
2025-08-13,Rolling/Tractor,Road,m2,164.59351880602935
2025-03-20,Walling,Building,m2,3646.1830762303775
2025-10-22,Subbase application,Road,m2,3719.4427512252864
2025-02-08,Removing trees,Building,m2,8.003977452218924
2025-10-29,Foundation pouring,Building,m3,384.87872250992706
2025-12-08,Pavement,Road,m2,561.5585027613995
2025-05-09,Terrain leveling,Building,m3,385.7364603470248
2025-12-11,Ballast,Railway,m3,1832.1153694010945
2025-06-02,Foundation pouring,Building,m3,119.2681543197649
2025-03-22,Coat preparation,Road,L,4238.2218172837
2025-07-22,Terrain leveling,Building,m3,4576.479459302704
2025-11-01,Walling,Building,m2,778.5554808501093
2025-01-02,Iron mining,Railway,m3,3389.3225336909754
2025-09-22,Walling,Building,m2,2555.338359874797
2025-07-23,Subbase application,Road,m2,1311.5303955822521
2025-02-25,Foundation pouring,Building,m3,2547.691851185583
2025-03-09,Anchorage,Railway,m2,3764.352987338444
2025-05-26,Walling,Building,m2,4541.797811047089
2025-04-30,Terrain leveling,Building,m3,4819.3479223079785
2025-01-21,Coat preparation,Road,L,571.2832026087339
2025-01-01,Subbase application,Road,m2,4434.826769342293
2025-12-25,Anchorage,Railway,m2,2117.9350242574087
2025-07-07,Foundation pouring,Building,m3,2431.0652402272026
2025-02-15,Pavement,Road,m2,3026.113783359065
2025-09-04,Rolling/Tractor,Road,m2,1086.8319519173697
2025-04-02,Laying steel rail,Railway,m,3059.9043494779253
2025-03-15,Ballast,Railway,m3,4105.44402242032
2025-07-04,Laying steel rail,Railway,m,1105.3010278618342
2025-09-11,Walling,Building,m2,1256.0399332807815
2025-03-05,Coat preparation,Road,L,1625.1531573809596
2025-01-04,Iron mining,Railway,m3,2203.0846395826193
2025-01-17,Pavement,Road,m2,3406.131379985807
2025-03-22,Subbase application,Road,m2,836.6716459884732
2025-03-27,Coat preparation,Road,L,4297.949110426747
2025-05-02,Rolling/Tractor,Road,m2,3984.7179538776977
2025-05-03,Cement making,Building,m3,1298.1628773508812
2025-08-16,Rolling/Tractor,Road,m2,3386.7937178549796
2025-03-27,Laying steel rail,Railway,m,3353.1718793424916
2025-12-09,Iron mining,Railway,m3,2633.594492688413
2025-09-28,Rolling/Tractor,Road,m2,1858.9684459250266
2025-06-30,Coat preparation,Road,L,805.8425264633995
2025-02-13,Pavement,Road,m2,394.589729630615
2025-02-15,Laying steel rail,Railway,m,1395.9351218212985
2025-01-08,Rolling/Tractor,Road,m2,3407.2722368287473
2025-12-08,Coat preparation,Road,L,4863.593744554019
2025-10-23,Subbase application,Road,m2,700.5974012751393
2025-10-26,Terrain leveling,Building,m3,4696.104693673107
2025-06-04,Iron mining,Railway,m3,3824.3672799549645
2025-05-01,Subbase application,Road,m2,2931.8641618717916
2025-03-27,Removing trees,Building,m2,2105.901575319741
2025-10-21,Cement making,Building,m3,4814.608428410631
2025-02-02,Rolling/Tractor,Road,m2,3734.5858009001386
2025-09-25,Iron mining,Railway,m3,3111.0556106918343
2025-06-23,Laying steel rail,Railway,m,4261.895097278318
2025-10-23,Cement making,Building,m3,2917.21495479228
2025-10-19,Anchorage,Railway,m2,214.22330175363936
2025-04-26,Ballast,Railway,m3,3753.2178079559976
2025-05-21,Laying steel rail,Railway,m,451.47233429143176
2025-11-28,Removing trees,Building,m2,3892.44787986969
2025-05-28,Foundation pouring,Building,m3,2015.7039262849325
2025-09-29,Iron mining,Railway,m3,161.63022470621345
2025-11-08,Anchorage,Railway,m2,4685.794106665552
2025-01-03,Subbase application,Road,m2,592.3879346677113
2025-08-06,Removing trees,Building,m2,4329.904975509202
2025-06-03,Pavement,Road,m2,1993.9710803859916
2025-07-09,Walling,Building,m2,1581.016323298296
2025-04-05,Laying steel rail,Railway,m,4678.169592449104
2025-03-15,Removing trees,Building,m2,4864.442172738939
2025-09-20,Walling,Building,m2,3611.9631762968397
2025-11-17,Rolling/Tractor,Road,m2,502.2601091520457
2025-08-27,Subbase application,Road,m2,3346.7548510163565
2025-09-02,Ballast,Railway,m3,3489.350672751511
2025-12-19,Foundation pouring,Building,m3,1304.9569841873615
2025-05-20,Foundation pouring,Building,m3,3670.102277787972
2025-06-24,Removing trees,Building,m2,3759.5081565608275
2025-02-24,Terrain leveling,Building,m3,4893.977408929195
2025-12-01,Cement making,Building,m3,968.2300005264216
2025-07-08,Coat preparation,Road,L,351.62746388218477
2025-07-12,Terrain leveling,Building,m3,5.796168081491082
2025-03-16,Cement making,Building,m3,2610.0371158552653
2025-08-21,Pavement,Road,m2,2438.853005368713
2025-09-28,Ballast,Railway,m3,903.5892827277892
2025-04-01,Subbase application,Road,m2,916.2768585089864
2025-02-14,Walling,Building,m2,3385.662426222199
2025-07-29,Walling,Building,m2,2282.7937584896918
2025-09-03,Removing trees,Building,m2,299.4861686545375
2025-08-13,Foundation pouring,Building,m3,990.7417557441855
2025-09-22,Walling,Building,m2,3243.9142858088944
2025-05-04,Foundation pouring,Building,m3,386.50107147813696
2025-12-23,Removing trees,Building,m2,855.3638897464499
2025-08-27,Pavement,Road,m2,1124.318191704428
2025-06-20,Subbase application,Road,m2,626.6029474641072
2025-03-29,Anchorage,Railway,m2,2234.525713340207
2025-03-22,Anchorage,Railway,m2,3170.9176242122867
2025-11-07,Walling,Building,m2,703.5336693210093
2025-12-09,Cement making,Building,m3,2810.397449638898
